,Unnamed: 0,Time,LON,LAT,Temperature above oceans,Air density above oceans,Max wave height,Swell period,Wind wave period,Wave period,Sea surface temperature,Combined wind waves and swell height,Swell height,Wind wave height,Surface pressure,Draught,Width,Length,SOG,COG,Heading,Wind Speed,Current Speed,True Wind Direction,True Current Direction,True Swell Direction,True Wind Wave Direction,True Wave Direction,True North Wind Direction,True North Current Direction
5376,5376,2021-03-09 02:00:00,13.50552401,55.20165168,288.7451172,1.220641136,1.876303434,4.365999222,3.728675842,3.76761055,289.0125732,0.972435057,0.244262695,0.940673828,101818.5625,5.199728489,24,158,19.75897436,98.05372422,97.61335844,8.655154478,0.075656624,5.444864576,95.59008058,134.7887564,167.701705,166.3125449,-87.83150613704362,13.203439011545406
5377,5377,2021-03-09 03:00:00,14.07956779,55.1456639,288.5671387,1.220720291,1.874102354,4.584433556,3.674842834,3.941428185,288.6343994,0.970585048,0.335448325,0.890258789,101780.375,5.199745314,24,158,19.93048684,101.7580854,100.5376344,9.040945815,0.075656624,9.625685771,92.6658046,135.9861693,165.7843566,159.7004943,-89.08805135972632,13.203439011545406
5378,5378,2021-03-09 04:00:00,14.5710281,55.09701066,288.4580078,1.219155312,2.304273367,4.814976692,4.095594406,4.177220345,288.6695557,1.183861732,0.350013018,1.127319336,101609.3125,5.19969291,24,158,14.34997621,95.77014224,108.4138576,9.758262892,0.075656624,16.29769034,84.78958144,122.119666,158.3335484,155.3233861,-87.88383276997877,13.203439011545406
5390,5390,2021-03-09 16:00:00,14.47219146,55.13069534,289.1906738,1.214125633,0.981983125,4.113609314,2.494178772,4.012742043,288.6695557,0.523382127,0.509005368,0.100158691,101600.0,5.199698336,24,158,18.00898013,284.0315199,281.6333055,3.570364036,0.143323507,140.5828592,153.6546053,15.92322252,6.413142222,16.15448473,62.2161647299533,-52.021299793182656
5391,5391,2021-03-09 17:00:00,13.98900287,55.21775551,289.5593262,1.212658882,0.80373615,3.867716789,2.663124084,3.641788483,288.6343994,0.431525052,0.3981933,0.146972656,101630.125,5.199717614,24,158,18.51013384,279.5467894,277.9655832,4.707064132,0.016703624,162.8333454,163.0301786,14.59867033,5.563652666,15.96234831,80.79892861494113,
5392,5392,2021-03-09 18:00:00,13.38722353,55.24570488,290.2658691,1.209621429,0.714051247,3.500054359,1.998939514,3.2346735,289.0125732,0.389139891,0.350585878,0.165039063,101574.5,5.199752855,24,158,18.50554324,274.1106895,271.9264416,4.313486729,0.016703624,167.5413375,169.0693202,3.391102274,7.692127664,4.702473123,-75.61489589332368,
5393,5393,2021-03-09 19:00:00,12.90054494,55.27321469,290.4807129,1.210124969,0.562611639,3.197042465,1.637611389,3.098225594,289.1870117,0.308517158,0.297851503,0.077636719,101639.8125,5.19979412,24,158,18.04590432,282.2349538,280.5466921,3.52683323,0.016703624,148.0343292,160.4490696,12.08056665,4.412414306,12.02276636,-47.48763707907138,
5394,5394,2021-03-09 20:00:00,12.45637655,55.40292185,289.322998,1.213233948,0.32043314,2.555909157,3.4036026,2.53842926,289.6766357,0.182496965,0.180943489,0.011291504,101590.5625,5.199686573,24,158,17.03107238,300.7458069,298.7599027,3.060372199,0.016703624,120.30306,142.2358591,14.34007234,83.23555785,14.22053499,-1.543157365158007,
5397,5397,2021-03-09 23:00:00,12.25050888,55.44894347,285.6269531,1.223538399,,,,,289.6821289,,,,101495.5,5.1996456,24,158,7.657597266,182.55584,108.7281796,2.223545392,0.012779524,64.029921,34.63781837,,,,-7.241899443101029,74.09036117848916
5398,5398,2021-04-09 00:00:00,12.83800464,55.2547053,288.9438477,1.218587875,0.333197832,2.616334915,1.994544983,2.591016769,289.4099121,0.186657429,0.184661806,0.024032593,101665.6875,5.19960119,24,158,18.75394923,109.9955061,110.3444409,3.044977635,0.044370956,78.35279557,52.82590213,159.7531323,113.1379284,159.5443615,8.697236460941413,-16.82965699246667
5399,5399,2021-04-09 01:00:00,13.41317246,55.19320953,288.6574707,1.218766212,0.422605276,2.966814995,3.864906311,2.966790199,289.0496826,0.231930554,0.231939778,2.55e-16,101628.9375,5.199716184,24,158,19.33643054,96.98125917,96.32385824,2.126822431,0.04874126,142.857407,82.00743643,176.988409,61.01418112,176.9793148,59.18126521644854,-1.6687048615223057
